-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/31/2022 
Location: Latitude  19.5138   Longitude -99.1285 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2626.86 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
ALLSKY_SFC_UVA        CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB        CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
-END HEADER-
YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,CLOUD_AMT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB
2018,1,1,5.23,4.57,36.63,10.84,0.27
2018,1,2,5.28,4.17,45.77,10.0,0.25
2018,1,3,5.08,4.42,35.0,10.17,0.24
2018,1,4,5.33,4.6,43.11,10.68,0.26
2018,1,5,5.32,4.91,36.98,11.31,0.27
2018,1,6,5.49,5.49,7.44,12.55,0.29
2018,1,7,5.53,5.53,3.48,12.8,0.3
2018,1,8,5.42,5.44,3.23,12.35,0.3
2018,1,9,5.67,5.68,5.21,12.93,0.31
2018,1,10,5.62,5.64,6.09,13.02,0.3
2018,1,11,5.73,5.75,4.82,13.12,0.31
2018,1,12,5.82,5.82,15.7,13.43,0.32
2018,1,13,5.83,5.83,8.02,13.28,0.31
2018,1,14,5.94,5.85,18.79,13.45,0.31
2018,1,15,5.9,5.84,10.27,13.4,0.31
2018,1,16,5.72,5.74,11.81,12.87,0.3
2018,1,17,5.8,5.41,44.21,12.62,0.3
2018,1,18,5.71,5.34,53.48,12.54,0.3
2018,1,19,5.59,4.99,55.02,11.73,0.3
2018,1,20,5.7,5.24,37.66,12.31,0.31
2018,1,21,5.69,5.53,20.85,13.08,0.34
2018,1,22,5.56,5.08,58.84,11.91,0.3
2018,1,23,5.6,4.91,50.03,11.69,0.3
2018,1,24,5.71,3.99,74.3,10.13,0.28
2018,1,25,5.66,3.67,87.23,9.51,0.27
2018,1,26,5.72,4.39,74.58,10.91,0.3
2018,1,27,5.72,4.52,55.89,11.0,0.3
2018,1,28,5.66,3.3,91.51,8.6,0.23
2018,1,29,5.85,2.68,99.32,7.36,0.21
2018,1,30,6.18,3.93,91.55,10.2,0.27
2018,1,31,6.15,3.92,90.01,10.3,0.28
