-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2018 through 12/31/2022 
Location: Latitude  19.5138   Longitude -99.1285 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2626.86 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                    MERRA-2 Surface Pressure (kPa) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
ALLSKY_SFC_UVA        CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB        CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
-END HEADER-
YEAR,MO,DY,HR,PS,WS2M,QV2M,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,CLOUD_AMT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB
2017,12,31,17,74.69,0.39,6.59,0.42,5.98,70.84,0.02,0.0
2017,12,31,18,74.74,0.52,6.47,0.0,0.0,62.64,0.0,0.0
2017,12,31,19,74.78,0.75,6.47,0.0,0.0,51.84,0.0,0.0
2017,12,31,20,74.81,0.78,6.47,0.0,0.0,57.43,0.0,0.0
2017,12,31,21,74.83,0.75,6.53,0.0,0.0,62.66,0.0,0.0
2017,12,31,22,74.83,0.74,6.59,0.0,0.0,78.0,0.0,0.0
2017,12,31,23,74.82,0.78,6.77,0.0,0.0,65.33,0.0,0.0
2018,1,1,0,74.81,0.86,6.96,0.0,0.0,47.41,0.0,0.0
2018,1,1,1,74.8,1.05,7.08,0.0,0.0,31.69,0.0,0.0
2018,1,1,2,74.8,1.03,7.08,0.0,0.0,33.05,0.0,0.0
2018,1,1,3,74.82,0.89,7.02,0.0,0.0,30.82,0.0,0.0
2018,1,1,4,74.86,0.78,7.08,0.0,0.0,32.72,0.0,0.0
2018,1,1,5,74.9,0.78,7.08,0.0,0.0,40.66,0.0,0.0
2018,1,1,6,74.93,0.9,7.26,26.23,29.52,21.49,1.3,0.01
2018,1,1,7,74.95,1.52,7.93,208.33,205.77,11.84,9.77,0.09
